Source	Level 1	Level 2	Level 3	2021	2022	2023	2024	2025	2026	2027	2028	2029	Driver
baseCosts.laborDepartments.admin	Labor	Admin	-	2770938	5297866	1661527	2489400	2986400	3441906.25	3803200	3998400	4158400	Labor cost by department.
baseCosts.laborDepartments.product	Labor	Product	-	0	0	1704263	1225100	2273200	3032506.25	3776800	4299900	5021200	Labor cost by department.
baseCosts.laborDepartments.engineering	Labor	Engineering	-	0	0	0	0	0	0	0	0	0	Labor cost by department.
baseCosts.laborDepartments.growth	Labor	Growth	-	0	0	656920	629000	1521800	2251900	3011300	3801000	4622300	Labor cost by department.
baseCosts.laborDepartments.sales	Labor	Sales	-	0	0	1090265	2658900	4578162.5	6111400	7310300	8400200	9533800	Labor cost by department.
baseCosts.laborDepartments.marketing	Labor	Marketing	-	0	0	685404	1188038	1714200	2159400	2614300	2920300	3272100	Labor cost by department.
baseCosts.laborDepartments.clientSuccess	Labor	Client Success	-	0	0	1203867	1544700	2227500	2622500	3012600	3375500	3795800	Labor cost by department.
baseCosts.laborDepartments.customerExperience	Labor	Customer Experience	-	0	0	556065	827400	945700	1118600	1298300	1485200	1679600	Labor cost by department.
baseCosts.laborDepartments.assistanceAnimal	Labor	Assistance Animal	-	0	0	1282492	1773800	2124900	2462600	2814000	3179300	3559300	Labor cost by department.
baseCosts.laborDepartments.fidoTabby	Labor	FidoTabby	-	0	0	475395	671200	858000	892300	927900	965100	1003700	Labor cost by department.
baseCosts.nonLaborCategories.staffingCosts	Non-Labor	Staffing Costs	-	44261	119347	213077	236300	283600	340300	391300	450100	495200	Non-labor spend by category.
baseCosts.nonLaborCategories.marketingCosts	Non-Labor	Marketing Costs	-	673707	1816616	3243317	3596800	3885200	6444300	7552100	7705500	9605000	Non-labor spend by category.
baseCosts.nonLaborCategories.outsideMarketing	Non-Labor	Outside Marketing	-	1124	3030	5410	6000	6600	6900	7200	7200	7200	Non-labor spend by category.
baseCosts.nonLaborCategories.conferences	Non-Labor	Conferences	-	91144	245764	438778	486600	557500	613300	674600	742100	816300	Non-labor spend by category.
baseCosts.nonLaborCategories.consultants	Non-Labor	Consultants	-	422678	1139728	2034828	2256600	3135500	3725400	4394000	5196300	6161000	Non-labor spend by category.
baseCosts.nonLaborCategories.legalProfessionalServices	Non-Labor	Legal & Professional Services	-	56211	151570	270607	300100	315100	330900	347500	364900	383100	Non-labor spend by category.
baseCosts.nonLaborCategories.insurance	Non-Labor	Insurance	-	16801	45304	80885	89700	112100	145700	196700	265500	358400	Non-labor spend by category.
baseCosts.nonLaborCategories.softwareDevelopment	Non-Labor	Software Development	-	724618	1953892	3488405	3868600	4061700	4264400	4477400	4701000	4935700	Non-labor spend by category.
baseCosts.nonLaborCategories.softwareSubscriptions	Non-Labor	Software Subscriptions	-	244680	659766	1177921	1306300	1567600	1881200	2163300	2487900	2861200	Non-labor spend by category.
baseCosts.nonLaborCategories.rent	Non-Labor	Rent	-	64659	174348	311275	345200	345200	345200	345200	345200	345200	Non-labor spend by category.
baseCosts.nonLaborCategories.travelMealsEntertainment	Non-Labor	Travel, Meals & Entertainment	-	144418	389416	695248	771022	886800	975500	1073200	1180500	1298700	Non-labor spend by category.
baseCosts.nonLaborCategories.allOther	Non-Labor	All Other	-	99111	267250	477138	529140	582200	611300	641900	673800	707500	Non-labor spend by category.
